incident_id,start_at,end_at,status
9632825,2022-03-26T01:43:00Z,2022-03-26T01:44:00Z,Investigating
9632825,2022-03-26T01:44:00Z,2022-03-26T02:20:00Z,Update
9632825,2022-03-26T02:20:00Z,2022-03-26T03:35:00Z,Update
9630129,2022-03-25T17:35:00Z,2022-03-28T12:01:00Z,Scheduled
9630129,2022-03-28T12:01:00Z,2022-03-28T15:02:00Z,In progress
9622130,2022-03-24T19:11:00Z,2022-03-28T12:01:00Z,Scheduled
9622130,2022-03-28T12:01:00Z,2022-03-28T15:02:00Z,In progress
9629077,2022-03-25T15:31:00Z,2022-03-28T12:01:00Z,Scheduled
9629077,2022-03-28T12:01:00Z,2022-03-28T15:03:00Z,In progress
9649877,2022-03-28T16:02:00Z,2022-03-28T20:09:00Z,Investigating
9656609,2022-03-29T10:26:00Z,2022-03-29T10:39:00Z,Investigating
9656609,2022-03-29T10:39:00Z,2022-03-29T10:50:00Z,Update
9656609,2022-03-29T10:50:00Z,2022-03-29T11:10:00Z,Update
9656609,2022-03-29T11:10:00Z,2022-03-29T11:23:00Z,Update
9668510,2022-03-30T16:21:00Z,2022-03-30T16:54:00Z,Investigating
9668510,2022-03-30T16:54:00Z,2022-03-30T19:20:00Z,Update
9683123,2022-04-01T07:07:00Z,2022-04-01T07:10:00Z,Investigating
9683123,2022-04-01T07:10:00Z,2022-04-01T09:50:00Z,Update
9683123,2022-04-01T09:50:00Z,2022-04-01T09:53:00Z,Update
9683123,2022-04-01T09:53:00Z,2022-04-01T12:30:00Z,Update
9683123,2022-04-01T12:30:00Z,2022-04-01T12:39:00Z,Update
9722689,2022-04-06T15:25:00Z,2022-04-06T15:34:00Z,Investigating
9723156,2022-04-06T16:37:00Z,2022-04-08T23:01:00Z,Scheduled
9723156,2022-04-08T23:01:00Z,2022-04-09T01:00:00Z,In progress
9769203,2022-04-12T16:33:00Z,2022-04-12T17:02:00Z,Investigating
9769203,2022-04-12T17:02:00Z,2022-04-12T18:46:00Z,Update
9778392,2022-04-13T20:35:00Z,2022-04-13T20:40:00Z,Investigating
9778392,2022-04-13T20:40:00Z,2022-04-13T20:50:00Z,Update
9778392,2022-04-13T20:50:00Z,2022-04-13T21:07:00Z,Update
